;SMILES;ID;MolWt;TPSA;nRotB;HBD;HBA;LogP
0;NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1;sulfapyridine;249.0571976;85.08;3;2;4;1.4646
1;CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N1CCC[C@H]1C(=O)NCC(N)=O;triptorelin;1311.638151;489.66;33;18;14;-3.9048
2;NCCC1=CN=CN1;histamine;111.0796473;54.7;2;2;2;-0.0891
3;CC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O;butabarbital ;212.1160924;75.27;3;2;3;0.7949
4;CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C;desoxycorticosterone acetate ;372.2300595;60.44;3;0;4;4.2667
5;CC(C)(C)C(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C;desoxycorticosterone pivalate;414.2770097;60.44;3;0;4;5.2929
6;NC(N)=[NH2+];guanidine;60.05562361;77.63;0;3;0;-2.9811
7;CC1=CC(=O)C2=C(C=CC=C2)C1=O;menadione;172.0524295;34.14;0;0;2;2.0119
8;CN1C2=C(NC=N2)C(=O)N(C)C1=O;theophylline ;180.0647255;72.68;0;1;5;-1.0397
9;CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C;ergocalciferol ;396.339216;20.23;5;1;1;7.641
10;C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CCC2=O;estrone;270.1619799;37.3;0;1;2;3.8174
11;CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1;diethylstilbestrol ;268.1463299;40.46;4;2;2;4.8286
12;NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1;sulfadiazine ;250.0524466;97.97;3;2;5;0.8596
13;CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1;meperidine ;247.1572289;29.54;3;0;3;2.2131
14;C[N+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](O)C1=CC=CC=C1;homatropine methylbromide;290.17507;46.53;3;1;3;2.033
15;COC1=CC=C2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5OC1=C2[C@]45CCN3C;hydrocodone;299.1521435;38.77;1;0;4;1.9333
16;C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@H]2O;estradiol;272.17763;40.46;0;2;2;3.6092
17;C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C;ethinyl estradiol;296.17763;40.46;0;2;2;3.6126
18;CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=C(C=CC(O)=C4)[C@H]3CC[C@]12C;estradiol valerate ;356.2351449;46.53;4;1;3;5.3503
19;C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1;estradiol cypionate;396.266445;46.53;4;1;3;6.1305
